h,m,s,ms,ecef_x,ecef_y,ecef_z,v_ecef_x,v_ecef_y,v_ecef_z,a_p,a_y,a_r,q0,q1,q2,q3,w_p,w_y,w_r
11.0,45.0,56.0,149.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.04138138145208359,0.3475518822669983,9.654359817504883,0.22476166486740112,0.3481370806694031,-0.29417645931243896,-0.8612450361251831,-0.019898882135748863,-0.025358356535434723,-0.014440471306443214
11.0,45.0,56.0,155.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.1084190309047699,0.3188214600086212,9.663936614990234,0.2247278243303299,0.34807443618774414,-0.29413479566574097,-0.861293375492096,-0.02096310630440712,-0.02855103276669979,-0.014440471306443214
11.0,45.0,56.0,157.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.11320742964744568,0.30924466252326965,9.663936614990234,0.22469408810138702,0.34802713990211487,-0.294087678194046,-0.861337423324585,-0.02096310630440712,-0.022165682166814804,-0.016568921506404877
11.0,45.0,56.0,162.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.04616978392004967,0.2757258415222168,9.697455406188965,0.2246662676334381,0.3479962646961212,-0.2940419018268585,-0.8613727688789368,-0.018834656104445457,-0.014716104604303837,-0.015504696406424046
11.0,45.0,56.0,167.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.12278423458337784,0.32839828729629517,9.644783020019531,0.2246415913105011,0.34798362851142883,-0.29400432109832764,-0.8613971471786499,-0.013513530604541302,-0.007266528904438019,-0.014440471306443214
11.0,45.0,56.0,172.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.10363062471151352,0.33318668603897095,9.663936614990234,0.22463510930538177,0.3479844331741333,-0.29395878314971924,-0.8614140152931213,-0.016706205904483795,0.0012472720118239522,-0.010183569975197315
11.0,45.0,56.0,178.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.09884221851825714,0.361917108297348,9.70224380493164,0.22465310990810394,0.3479819595813751,-0.2939212918281555,-0.861423134803772,-0.016706205904483795,0.0033757220953702927,0.0004586809955071658
11.0,45.0,56.0,182.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.08926541358232498,0.33318668603897095,9.673513412475586,0.2246834635734558,0.34799322485923767,-0.29388242959976196,-0.861423909664154,-0.016706205904483795,0.01082529779523611,0.0036513570230454206
11.0,45.0,56.0,187.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.07490020245313644,0.270937442779541,9.678301811218262,0.2247169315814972,0.34801363945007324,-0.293841153383255,-0.8614210486412048,-0.016706205904483795,0.01508219912648201,0.0036513570230454206
11.0,45.0,56.0,192.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.07490020245313644,0.24699541926383972,9.692667007446289,0.22475197911262512,0.34803861379623413,-0.29379868507385254,-0.8614162802696228,-0.016706205904483795,0.017210649326443672,0.0036513570230454206
11.0,45.0,56.0,197.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.07490020245313644,0.24220702052116394,9.721397399902344,0.22477512061595917,0.348076194524765,-0.2937566637992859,-0.8614093661308289,-0.013513530604541302,0.02040332555770874,-0.0016697689425200224
11.0,45.0,56.0,202.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.06532339751720428,0.19911138713359833,9.745339393615723,0.22480164468288422,0.3481185734272003,-0.2937221825122833,-0.8613970875740051,-0.010320856235921383,0.022531775757670403,0.0004586809955071658
11.0,45.0,56.0,207.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,-0.001714247977361083,0.21347659826278687,9.735762596130371,0.22481581568717957,0.3481563627719879,-0.2936996817588806,-0.8613858222961426,-0.0049997298046946526,0.01827487349510193,-0.0016697689425200224
11.0,45.0,56.0,212.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,-0.020867861807346344,0.28530263900756836,9.716609001159668,0.22484169900417328,0.34818586707115173,-0.2936917543411255,-0.8613698482513428,-0.0018070540390908718,0.016146423295140266,0.005779806990176439
11.0,45.0,56.0,217.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.05095818638801575,0.26136061549186707,9.802800178527832,0.22488312423229218,0.3482109308242798,-0.29369810223579407,-0.8613467216491699,0.001385621028020978,0.016146423295140266,0.014293608255684376
11.0,45.0,56.0,222.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.05095818638801575,0.2805142402648926,9.769281387329102,0.2249360978603363,0.34823060035705566,-0.29372069239616394,-0.8613172173500061,0.0056425221264362335,0.01508219912648201,0.021743183955550194
11.0,45.0,56.0,227.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.0270161721855402,0.29009103775024414,9.721397399902344,0.2249896228313446,0.348249226808548,-0.29376041889190674,-0.8612821698188782,0.01202787272632122,0.014017974026501179,0.024935860186815262
11.0,45.0,57.0,0.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.06532339751720428,0.32839828729629517,9.72618579864502,0.2250356823205948,0.3482726812362671,-0.29379352927207947,-0.8612493276596069,0.01096364762634039,0.01508219912648201,0.020678959786891937
11.0,45.0,57.0,5.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.04616978392004967,0.30924466252326965,9.678301811218262,0.225070521235466,0.3482957184314728,-0.2938319742679596,-0.8612177968025208,0.014156322926282883,0.012953748926520348,0.01748628355562687
11.0,45.0,57.0,10.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.09405381977558136,0.35712870955467224,9.750127792358398,0.22509652376174927,0.3483237326145172,-0.2938605546951294,-0.8611899614334106,0.01202787272632122,0.014017974026501179,0.012165158055722713
11.0,45.0,57.0,15.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.14193785190582275,0.40022432804107666,9.754916191101074,0.22513054311275482,0.3483535647392273,-0.2938852310180664,-0.8611605763435364,0.009899421595036983,0.016146423295140266,0.014293608255684376
11.0,45.0,57.0,21.0,-3026265.0,4067369.0,3857325.25,0.029999999329447746,-0.05999999865889549,-0.019999999552965164,0.2903783619403839,0.47205036878585815,9.802800178527832,0.22520321607589722,0.34836679697036743,-0.2939184606075287,-0.8611248731613159,0.006706747226417065,0.01508219912648201,0.0313212089240551
